"country","name","birth_date","gender","disciplines"
"Malaysia","SOH Wooi Yik","1998-02-17","Male","'Badminton'"
"Norway","BRATTSET DALE Kari","1991-02-15","Female","'Handball'"
"Türkiye","DEMIREL Muhammed","2002-11-08","Male","'Judo'"
"Hungary","KOPASZ Balint","1997-06-20","Male","'Canoe Sprint'"
"Türkiye","ALBAYRAK Vedat","1993-06-04","Male","'Judo'"
"Croatia","STOJKOVIC Lena","2002-01-03","Female","'Taekwondo'"
"Croatia","SAPINA Ivan","1999-11-17","Male","'Taekwondo'"
"Türkiye","ZGANK Mihael","1994-02-01","Male","'Judo'"
"Türkiye","TATAROGLU Ibrahim","2006-01-01","Male","'Judo'"
"Türkiye","BEDER Tugce","1999-11-15","Female","'Judo'"
"Hungary","KULI Istvan","1998-06-22","Male","'Canoe Sprint'"
"Türkiye","OGEL Fidan","2002-01-17","Female","'Judo'"
"Türkiye","OZDEMIR Kayra","1988-02-13","Female","'Judo'"
"Andorra","CARABANA Nahuel","1999-11-10","Male","'Athletics'"
"Chinese Taipei","TAI Tzu Ying","1994-06-20","Female","'Badminton'"
"Chinese Taipei","CHOU Tien Chen","1990-01-08","Male","'Badminton'"
"Chinese Taipei","WANG Chi-Lin","1995-01-18","Male","'Badminton'"
"Chinese Taipei","LEE Yang","1995-08-12","Male","'Badminton'"
"Italy","DERKACH Dariya","1993-03-27","Female","'Athletics'"
"Italy","BOUIH Yassin","1996-11-24","Male","'Athletics'"
"Italy","RIVA Federico","2000-11-09","Male","'Athletics'"
"Chinese Taipei","YE Hong Wei","1999-11-01","Male","'Badminton'"
"Italy","ORSONI Riccardo","2000-01-20","Male","'Athletics'"
"Türkiye","ALTINKAYA Sibel","1993-02-01","Female","'Table Tennis'"
"Türkiye","DEMIRHAN YAVUZ Evin","1995-07-02","Female","'Wrestling'"
"Türkiye","YETGIL Zeyne","2000-10-10","Female","'Wrestling'"
"Türkiye","CAVUSOGLU TOSUN Buse","1995-12-05","Female","'Wrestling'"
"Türkiye","BAS Nesrin","2002-06-25","Female","'Wrestling'"
"Türkiye","ADAR YIGIT Yasemin","1991-12-06","Female","'Wrestling'"
"Hungary","NADAS Bence","1996-04-17","Male","'Canoe Sprint'"
"Hungary","NAGY Bianka","2000-06-28","Female","'Canoe Sprint'"
"Uganda","KAGIMU Charles","1998-09-15","Male","'Cycling Road'"
"Türkiye","CIFTCI Ibrahim","1997-12-01","Male","'Wrestling'"
"Türkiye","AKGUL Taha","1990-11-22","Male","'Wrestling'"
"Mali","DIALLO Hamidou","2002-01-26","Male","'Football'"
"Hungary","PUPP Noemi","1998-07-28","Female","'Canoe Sprint'"
"Tajikistan","MAKHMADBEKOV Somon","1999-03-24","Male","'Judo'"
"Uganda","NOBLE Kathleen","1994-12-20","Female","'Rowing'"
"Poland","BEREZNICKI Mateusz","2001-03-10","Male","'Boxing'"
"Mali","CISSE Ibrahima","2001-02-15","Male","'Football'"
"Mali","SISSOKHO Issouf","2002-01-30","Male","'Football'"
"Luxembourg","QUERINJEAN Ruben","2001-12-22","Male","'Athletics'"
"Luxembourg","HOFFMANN Vera","1996-11-02","Female","'Athletics'"
