"name","medal_type","gender","country","event","isteam","url_event"
"CHEN Yi","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"MA Ning","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"LI Hong","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"OU Zixia","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"DAN Wen","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"ZOU Meirong","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"HE Jiangxin","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"FAN Yunxia","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"CHEN Yang","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"XU Wenyu","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"ZHONG Jiaqi","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"TAN Jinzhuang","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"YU Anhui","Silver Medal","Female","China","Women",True,"/en/paris-2024/results/hockey/women/fnl-000100--"
"LORENA","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"ANTONIA","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"TARCIANE","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"RAFAELLE","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"DUDA SAMPAIO","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"TAMIRES","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"KEROLIN","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"VITORIA YAYA","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"ADRIANA","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"MARTA","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"JHENIFFER","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"TAINA","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"YASMIM","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"LUDMILA","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"THAIS","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"GABI NUNES","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"ANA VITORIA","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"GABI PORTILHO","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"PRISCILA","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"ANGELINA","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"LAUREN","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"LUCIANA","Silver Medal","Female","Brazil","Women",True,"/en/paris-2024/results/football/women/fnl-000100--"
"GLAUSER Laura","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"NOCANDY Meline","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"TOUBLANC Alicia","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"VALENTINI Chloe","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"LASSOURCE Coralie","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"ZAADI DEUNA Grace","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"DARLEUX MINGAM Cleopatre","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"FLIPPES Laura","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
"KANOR Orlane","Silver Medal","Female","France","Women",True,"/en/paris-2024/results/handball/women/fnl-000100--"
